,id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,requires_license,reviews_per_month
250,160222,,,f,1.0,East Queen Anne,47.640346062206866,-122.34208824893022,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,110.00,800.00,100.00,2,50.00,2,1125,53,93.0,9.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,f,f,0.98
251,4250367,90%,100%,f,9.0,East Queen Anne,47.62905146544943,-122.35098931248785,House,Entire home/apt,7,4.0,3.0,Real Bed,600.00,1500.00,175.00,1,0.00,3,1125,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,0.53
252,8755479,100%,100%,f,2.0,East Queen Anne,47.629834373737204,-122.34687216497706,Apartment,Entire home/apt,4,2.0,2.0,Real Bed,235.00,,45.00,2,15.00,1,1125,2,100.0,10.0,10.0,9.0,10.0,10.0,9.0,f,moderate,f,f,f,0.71
253,8829156,100%,100%,f,2.0,East Queen Anne,47.640515525797184,-122.34450402727064,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,75.00,,20.00,3,10.00,1,1125,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,2.66
254,5126077,100%,100%,f,2.0,East Queen Anne,47.630003973020365,-122.34512025210606,Apartment,Private room,2,1.0,1.0,Real Bed,95.00,,25.00,1,0.00,1,1125,1,80.0,10.0,10.0,10.0,10.0,8.0,6.0,f,moderate,f,f,f,0.34
255,6108796,100%,100%,f,6.0,East Queen Anne,47.64103957706406,-122.34440379321084,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,103.00,350.00,60.00,4,10.00,2,1125,49,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict,f,f,f,5.81
256,2692126,100%,100%,f,1.0,East Queen Anne,47.631112415772314,-122.34396424619324,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,120.00,350.00,60.00,2,25.00,3,1125,59,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,f,3.45
257,6882211,100%,100%,f,1.0,East Queen Anne,47.64046803795414,-122.35576374487083,House,Entire home/apt,2,1.0,1.0,Real Bed,95.00,200.00,50.00,1,0.00,1,1125,0,,,,,,,,f,flexible,f,f,f,
258,9573675,100%,,f,1.0,East Queen Anne,47.639538915584566,-122.34484750829438,Apartment,Entire home/apt,5,2.5,2.0,Real Bed,143.00,,100.00,0,0.00,1,1125,0,,,,,,,,f,flexible,f,f,f,
259,3544953,100%,100%,t,1.0,East Queen Anne,47.64071111274443,-122.3463179295815,Apartment,Private room,2,1.0,1.0,Real Bed,99.00,,20.00,2,0.00,2,7,18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,1.02
